Date Time, Water Level, Sigma, O, F, R, L, Quality 
2017-01-02 00:54,0.847,0.096,0,0,0,0,v
2017-01-02 01:00,0.828,0.083,0,0,0,0,v
2017-01-02 01:06,0.873,0.107,0,0,0,0,v
2017-01-02 01:12,0.927,0.099,0,0,0,0,v
2017-01-02 01:18,0.918,0.098,0,0,0,0,v
2017-01-02 01:24,0.929,0.095,0,0,0,0,v
2017-01-02 01:30,0.935,0.122,0,0,0,0,v
2017-01-02 01:36,0.919,0.087,0,0,0,0,v
2017-01-02 01:42,0.956,0.080,0,0,0,0,v
2017-01-02 01:48,0.951,0.095,0,0,0,0,v
2017-01-02 01:54,0.959,0.104,0,0,0,0,v
2017-01-02 02:00,0.962,0.093,0,0,0,0,v
2017-01-02 02:06,0.969,0.083,0,0,0,0,v
2017-01-02 02:12,1.000,0.105,0,0,0,0,v
2017-01-02 02:18,1.013,0.107,0,0,0,0,v
2017-01-02 02:24,0.983,0.089,0,0,0,0,v
2017-01-02 02:30,1.004,0.111,0,0,0,0,v
2017-01-02 02:36,0.977,0.080,0,0,0,0,v
2017-01-02 02:42,0.978,0.078,0,0,0,0,v
2017-01-02 02:48,1.013,0.106,0,0,0,0,v
2017-01-02 02:54,0.988,0.097,0,0,0,0,v
2017-01-02 03:00,1.001,0.093,0,0,0,0,v
2017-01-02 03:06,0.991,0.083,0,0,0,0,v
2017-01-02 03:12,0.968,0.097,0,0,0,0,v
2017-01-02 03:18,0.961,0.103,0,0,0,0,v
2017-01-02 03:24,0.964,0.094,0,0,0,0,v
2017-01-02 03:30,0.944,0.093,0,0,0,0,v
2017-01-02 03:36,0.944,0.127,0,0,0,0,v
2017-01-02 03:42,0.928,0.084,0,0,0,0,v
2017-01-02 03:48,0.957,0.083,0,0,0,0,v
2017-01-02 03:54,0.922,0.083,0,0,0,0,v
2017-01-02 04:00,0.886,0.095,0,0,0,0,v
2017-01-02 04:06,0.879,0.100,0,0,0,0,v
2017-01-02 04:12,0.855,0.095,0,0,0,0,v
2017-01-02 04:18,0.823,0.095,0,0,0,0,v
2017-01-02 04:24,0.815,0.089,0,0,0,0,v
2017-01-02 04:30,0.794,0.100,0,0,0,0,v
2017-01-02 04:36,0.760,0.091,0,0,0,0,v
2017-01-02 04:42,0.750,0.087,0,0,0,0,v
2017-01-02 04:48,0.717,0.079,0,0,0,0,v
2017-01-02 04:54,0.703,0.094,0,0,0,0,v
2017-01-02 05:00,0.690,0.079,0,0,0,0,v
2017-01-02 05:06,0.674,0.088,0,0,0,0,v
2017-01-02 05:12,0.636,0.085,0,0,0,0,v
2017-01-02 05:18,0.622,0.098,0,0,0,0,v
2017-01-02 05:24,0.591,0.077,0,0,0,0,v
2017-01-02 05:30,0.580,0.088,0,0,0,0,v
2017-01-02 05:36,0.547,0.091,0,0,0,0,v
2017-01-02 05:42,0.504,0.096,0,0,0,0,v
2017-01-02 05:48,0.489,0.082,0,0,0,0,v
2017-01-02 05:54,0.479,0.072,0,0,0,0,v
2017-01-02 06:00,0.435,0.081,0,0,0,0,v
2017-01-02 06:06,0.381,0.095,0,0,0,0,v
2017-01-02 06:12,0.357,0.075,0,0,0,0,v
2017-01-02 06:18,0.345,0.085,0,0,0,0,v
2017-01-02 06:24,0.337,0.079,0,0,0,0,v
2017-01-02 06:30,0.287,0.079,0,0,0,0,v
2017-01-02 06:36,0.288,0.060,0,0,0,0,v
2017-01-02 06:42,0.250,0.076,0,0,0,0,v
2017-01-02 06:48,0.271,0.064,0,0,0,0,v
2017-01-02 06:54,0.221,0.085,0,0,0,0,v
2017-01-02 07:00,0.224,0.087,0,0,0,0,v
2017-01-02 07:06,0.174,0.076,0,0,0,0,v
2017-01-02 07:12,0.116,0.070,0,0,0,0,v
2017-01-02 07:18,0.140,0.071,0,0,0,0,v
2017-01-02 07:24,0.114,0.070,0,0,0,0,v
2017-01-02 07:30,0.100,0.068,0,0,0,0,v
2017-01-02 07:36,0.100,0.072,0,0,0,0,v
2017-01-02 07:42,0.077,0.069,0,0,0,0,v
2017-01-02 07:48,0.103,0.069,0,0,0,0,v
2017-01-02 07:54,0.087,0.061,0,0,0,0,v
2017-01-02 08:00,0.104,0.081,0,0,0,0,v
2017-01-02 08:06,0.081,0.071,0,0,0,0,v
2017-01-02 08:12,0.041,0.069,0,0,0,0,v
2017-01-02 08:18,0.088,0.075,0,0,0,0,v
2017-01-02 08:24,0.042,0.076,0,0,0,0,v
2017-01-02 08:30,0.070,0.078,0,0,0,0,v
2017-01-02 08:36,0.105,0.059,0,0,0,0,v
2017-01-02 08:42,0.093,0.065,0,0,0,0,v
2017-01-02 08:48,0.135,0.079,0,0,0,0,v
2017-01-02 08:54,0.126,0.059,0,0,0,0,v
2017-01-02 09:00,0.138,0.063,0,0,0,0,v
2017-01-02 09:06,0.150,0.068,0,0,0,0,v
2017-01-02 09:12,0.166,0.064,0,0,0,0,v
2017-01-02 09:18,0.164,0.075,0,0,0,0,v
2017-01-02 09:24,0.148,0.074,0,0,0,0,v
2017-01-02 09:30,0.199,0.070,0,0,0,0,v
2017-01-02 09:36,0.239,0.067,0,0,0,0,v
2017-01-02 09:42,0.230,0.069,0,0,0,0,v
2017-01-02 09:48,0.214,0.074,0,0,0,0,v
2017-01-02 09:54,0.281,0.064,0,0,0,0,v
2017-01-02 10:00,0.250,0.077,0,0,0,0,v
2017-01-02 10:06,0.279,0.077,0,0,0,0,v
2017-01-02 10:12,0.294,0.078,0,0,0,0,v
2017-01-02 10:18,0.323,0.063,0,0,0,0,v
2017-01-02 10:24,0.366,0.073,0,0,0,0,v
2017-01-02 10:30,0.406,0.065,0,0,0,0,v
2017-01-02 10:36,0.389,0.081,0,0,0,0,v
2017-01-02 10:42,0.453,0.065,0,0,0,0,v
2017-01-02 10:48,0.516,0.067,0,0,0,0,v
2017-01-02 10:54,0.566,0.067,0,0,0,0,v
2017-01-02 11:00,0.551,0.063,0,0,0,0,v
2017-01-02 11:06,0.641,0.073,0,0,0,0,v
2017-01-02 11:12,0.728,0.078,0,0,0,0,v
2017-01-02 11:18,0.744,0.087,0,0,0,0,v
2017-01-02 11:24,0.784,0.070,0,0,0,0,v
2017-01-02 11:30,0.806,0.062,0,0,0,0,v
2017-01-02 11:36,0.828,0.090,0,0,0,0,v
2017-01-02 11:42,0.840,0.068,0,0,0,0,v
2017-01-02 11:48,0.866,0.079,0,0,0,0,v
2017-01-02 11:54,0.895,0.076,0,0,0,0,v
2017-01-02 12:00,0.924,0.080,0,0,0,0,v
2017-01-02 12:06,0.982,0.068,0,0,0,0,v
2017-01-02 12:12,1.018,0.072,0,0,0,0,v
2017-01-02 12:18,1.017,0.084,0,0,0,0,v
2017-01-02 12:24,1.032,0.071,0,0,0,0,v
2017-01-02 12:30,1.067,0.080,0,0,0,0,v
2017-01-02 12:36,1.090,0.065,0,0,0,0,v
2017-01-02 12:42,1.167,0.083,0,0,0,0,v
2017-01-02 12:48,1.206,0.068,0,0,0,0,v
2017-01-02 12:54,1.225,0.074,0,0,0,0,v
2017-01-02 13:00,1.244,0.081,0,0,0,0,v
2017-01-02 13:06,1.252,0.061,0,0,0,0,v
2017-01-02 13:12,1.306,0.081,0,0,0,0,v
2017-01-02 13:18,1.326,0.071,0,0,0,0,v
